Measurement	Well	Group	Time	OCR
6	H08	Background	25.71	0.00
6	H09	Background	25.71	0.00
6	H10	Background	25.71	0.00
6	H11	Background	25.71	0.00
6	H12	Background	25.71	0.00
7	A01	Background	30.67	0.00
7	A02	Background	30.67	0.00
7	A03	Background	30.67	0.00
7	A04	Background	30.67	0.00
7	A05	Background	30.67	0.00
7	A06	Background	30.67	0.00
7	A07	Background	30.67	0.00
7	A08	Background	30.67	0.00
7	A09	Background	30.67	0.00
7	A10	Background	30.67	0.00
7	A11	Background	30.67	0.00
7	A12	Background	30.67	0.00
7	B01	WT Control	30.67	439.35
7	B02	WT Control	30.67	501.62
7	B03	WT Control	30.67	398.12
7	B04	WT Control	30.67	638.19
7	B05	WT Control	30.67	566.04
7	B06	WT Control	30.67	805.66
7	B07	WT Control	30.67	758.98
7	B08	WT Control	30.67	437.11
7	B09	WT Control	30.67	425.18
7	B10	WT Control	30.67	368.75
7	B11	WT Control	30.67	729.00
7	B12	WT Control	30.67	537.46
7	C01	161 Control	30.67	42.92
7	C02	161 Control	30.67	38.28
7	C03	161 Control	30.67	87.73
7	C04	161 Control	30.67	61.62
7	C05	161 Control	30.67	207.72
7	C06	161 Control	30.67	87.51
7	C07	mev-1 Control	30.67	173.59
7	C08	mev-1 Control	30.67	192.39
7	C09	mev-1 Control	30.67	276.03
7	C10	mev-1 Control	30.67	410.09
7	C11	mev-1 Control	30.67	233.47
7	C12	mev-1 Control	30.67	392.34
7	D01	162 Control	30.67	634.04
7	D02	162 Control	30.67	59.59
7	D03	162 Control	30.67	329.51
7	D04	162 Control	30.67	657.17
7	D05	162 Control	30.67	403.59
7	D06	162 Control	30.67	116.87
7	D07	162 Control	30.67	383.14
7	D08	162 Control	30.67	571.77
7	D09	162 Control	30.67	686.95
7	D10	162 Control	30.67	589.55
7	D11	162 Control	30.67	780.21
7	D12	162 Control	30.67	102.83
7	E01	WT DDT	30.67	271.70
7	E02	WT DDT	30.67	123.22
7	E03	WT DDT	30.67	121.47
7	E04	WT DDT	30.67	73.76
7	E05	WT DDT	30.67	42.95
7	E06	WT DDT	30.67	252.17
7	E07	WT DDT	30.67	849.19
7	E08	WT DDT	30.67	90.96
7	E09	WT DDT	30.67	423.51
7	E10	WT DDT	30.67	48.20
7	E11	WT DDT	30.67	68.07
7	E12	WT DDT	30.67	34.33
7	F01	161 DDT	30.67	60.06
7	F02	161 DDT	30.67	28.17
7	F03	161 DDT	30.67	40.58
7	F04	161 DDT	30.67	48.00
7	F05	161 DDT	30.67	168.91
7	F06	161 DDT	30.67	48.23
7	F07	mev-1 DDT	30.67	41.28
7	F08	mev-1 DDT	30.67	29.85
7	F09	mev-1 DDT	30.67	2.47
7	F10	mev-1 DDT	30.67	72.13
7	F11	mev-1 DDT	30.67	39.35
7	F12	mev-1 DDT	30.67	29.90
7	G01	162 DDT	30.67	160.92
7	G02	162 DDT	30.67	57.63
7	G03	162 DDT	30.67	318.18
7	G04	162 DDT	30.67	86.64
7	G05	162 DDT	30.67	73.99
7	G06	162 DDT	30.67	21.08
7	G07	162 DDT	30.67	179.00
7	G08	162 DDT	30.67	217.46
7	G09	162 DDT	30.67	144.43
7	G10	162 DDT	30.67	29.89
7	G11	162 DDT	30.67	57.64
7	G12	162 DDT	30.67	70.37
7	H01	Background	30.67	0.00
7	H02	Background	30.67	0.00
7	H03	Background	30.67	0.00
7	H04	Background	30.67	0.00
7	H05	Background	30.67	0.00
7	H06	Background	30.67	0.00
7	H07	Background	30.67	0.00
7	H08	Background	30.67	0.00
7	H09	Background	30.67	0.00
7	H10	Background	30.67	0.00
7	H11	Background	30.67	0.00
7	H12	Background	30.67	0.00
8	A01	Background	35.64	0.00
8	A02	Background	35.64	0.00
8	A03	Background	35.64	0.00
8	A04	Background	35.64	0.00
8	A05	Background	35.64	0.00
8	A06	Background	35.64	0.00
8	A07	Background	35.64	0.00
8	A08	Background	35.64	0.00
8	A09	Background	35.64	0.00
8	A10	Background	35.64	0.00
8	A11	Background	35.64	0.00
8	A12	Background	35.64	0.00
8	B01	WT Control	35.64	405.19
8	B02	WT Control	35.64	614.47
8	B03	WT Control	35.64	268.36
8	B04	WT Control	35.64	668.28
8	B05	WT Control	35.64	778.67
8	B06	WT Control	35.64	773.33
8	B07	WT Control	35.64	575.66
8	B08	WT Control	35.64	592.69
8	B09	WT Control	35.64	381.25
8	B10	WT Control	35.64	121.86
8	B11	WT Control	35.64	736.42
8	B12	WT Control	35.64	769.73
8	C01	161 Control	35.64	59.38
8	C02	161 Control	35.64	62.67
8	C03	161 Control	35.64	175.61
8	C04	161 Control	35.64	72.56
8	C05	161 Control	35.64	158.00
8	C06	161 Control	35.64	90.72
8	C07	mev-1 Control	35.64	232.52
8	C08	mev-1 Control	35.64	412.15
8	C09	mev-1 Control	35.64	414.65
8	C10	mev-1 Control	35.64	396.21
8	C11	mev-1 Control	35.64	309.70
8	C12	mev-1 Control	35.64	490.86
8	D01	162 Control	35.64	495.50
8	D02	162 Control	35.64	521.78
8	D03	162 Control	35.64	313.60
8	D04	162 Control	35.64	452.95
8	D05	162 Control	35.64	579.48
8	D06	162 Control	35.64	207.16
8	D07	162 Control	35.64	407.39
8	D08	162 Control	35.64	758.60
8	D09	162 Control	35.64	556.86
8	D10	162 Control	35.64	635.60
8	D11	162 Control	35.64	906.47
8	D12	162 Control	35.64	100.42
8	E01	WT DDT	35.64	123.00
8	E02	WT DDT	35.64	181.94
8	E03	WT DDT	35.64	108.02
8	E04	WT DDT	35.64	99.62
8	E05	WT DDT	35.64	37.34
8	E06	WT DDT	35.64	328.11
8	E07	WT DDT	35.64	564.50
8	E08	WT DDT	35.64	293.42
8	E09	WT DDT	35.64	186.31
8	E10	WT DDT	35.64	106.58
8	E11	WT DDT	35.64	119.55
8	E12	WT DDT	35.64	93.09
8	F01	161 DDT	35.64	74.05
8	F02	161 DDT	35.64	43.02
8	F03	161 DDT	35.64	25.68
8	F04	161 DDT	35.64	55.39
8	F05	161 DDT	35.64	75.42
8	F06	161 DDT	35.64	26.34
8	F07	mev-1 DDT	35.64	60.11
8	F08	mev-1 DDT	35.64	26.08
8	F09	mev-1 DDT	35.64	38.74
8	F10	mev-1 DDT	35.64	71.95
8	F11	mev-1 DDT	35.64	47.33
8	F12	mev-1 DDT	35.64	43.84
8	G01	162 DDT	35.64	168.50
8	G02	162 DDT	35.64	45.95
8	G03	162 DDT	35.64	120.84
8	G04	162 DDT	35.64	99.55
8	G05	162 DDT	35.64	41.22
8	G06	162 DDT	35.64	20.72
8	G07	162 DDT	35.64	120.15
8	G08	162 DDT	35.64	100.25
8	G09	162 DDT	35.64	280.42
8	G10	162 DDT	35.64	95.80
8	G11	162 DDT	35.64	122.18
8	G12	162 DDT	35.64	38.81
8	H01	Background	35.64	0.00
8	H02	Background	35.64	0.00
8	H03	Background	35.64	0.00
8	H04	Background	35.64	0.00
